52,93,Alexey
66,70,Fyodorovitch
85,88,Karamazov
61,68,was
43,73,the
64,46,third
81,33,son
74,32,of
8,96,Fyodor
61,68,Pavlovitch
28,99,Karamazov
11,28,a
5,92,land
67,43,owner
89,86,well
34,72,known
44,21,in
2,40,our
52,21,district
45,32,in
60,79,his
89,45,own
90,45,day
31,92,and
71,39,still
22,15,remembered
75,93,among
61,90,us
28,32,owing
77,34,to
2,19,his
79,8,gloomy
71,61,and
88,83,tragic
95,6,death
68,53,which
61,80,happened
13,47,thirteen
90,43,years
65,8,ago
23,25,and
91,65,which
80,89,I
92,13,shall
91,61,describe
38,32,in
43,4,its
45,49,proper
84,2,place
16,29,For
6,65,the
35,9,present
20,89,I
6,16,will
95,82,only
27,40,say
43,39,that
7,44,this
71,94,“landowner”—for
82,38,so
8,9,we
22,94,used
85,59,to
66,100,call
38,17,him
97,38,although
62,27,he
46,99,hardly
92,83,spent
87,49,a
26,9,day
90,55,of
95,33,his
60,92,life
97,61,on
74,39,his
15,59,own
79,13,estate—was
97,46,a
100,55,strange
72,38,type
34,78,yet
3,7,one
10,75,pretty
65,28,frequently
76,44,to
67,65,be
6,94,met
69,12,with
2,49,a
99,17,type
81,34,abject
15,77,and
61,91,vicious
89,92,and
4,98,at
13,34,the
96,45,same
20,56,time
45,93,senseless
